Corp,corp_code,Securities,sec_code,Bank,bank_code,en_caption,category_code,parent_code
,,c. c.Chi phí giao dịch mua các tài sản tài chính FVTPL (4 nearest quarters),IS_021.3_4NQ,,,(Income statement) (Securities) Transaction costs for purchasing financial assets (FVTPL) (4 nearest quarters),IS_024_4NQ,IS_036
,,d. Chênh lệch tăng do đánh giá lại phải trả chứng quyền đang lưu hành (4 nearest quarters),IS_021.4_4NQ,,,(Income statement) (Securities) Revaluation gain on outstanding warrants payable (4 nearest quarters),IS_025_4NQ,IS_036
,,2.2. Lỗ các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM) (4 nearest quarters),IS_022_4NQ,,,(Income statement) (Securities) Loss from held-to-maturity investments (HTM) (4 nearest quarters),IS_026_4NQ,IS_036
,,2.4. Lỗ bán các tài sản tài chính sẵn sàng để bán (AFS) (4 nearest quarters),IS_023_4NQ,,,(Income statement) (Securities) Loss on sale of available-for-sale (AFS) financial assets (4 nearest quarters),IS_027_4NQ,IS_036
,,"Chi phí dự phòng tài sản tài chính, xử lý tổn thất các khoản phải thu khó đòi, lỗ suy giảm tài sản tài chính và chi phí đi vay của các khoản cho vay (4 nearest quarters)",IS_024_4NQ,,,"(Income statement) (Securities) Provision expenses for financial assets, bad debt write-offs, financial asset impairment, and borrowing costs (4 nearest quarters)",IS_028_4NQ,IS_036
,,2.6. Chi phí hoạt động tự doanh (4 nearest quarters),IS_026_4NQ,,,(Income statement) (Securities) Proprietary trading expenses (4 nearest quarters),IS_029_4NQ,IS_036
,,2.7. Chi phí môi giới chứng khoán (4 nearest quarters),IS_027_4NQ,,,(Income statement) (Securities) Brokerage commission expenses (4 nearest quarters),IS_030.1_4NQ,IS_036
,,"2.8. Chi phí hoạt động bảo lãnh, đại lý phát hành chứng khoán (4 nearest quarters)",IS_028_4NQ,,,(Income statement) (Securities) Underwriting and issuance agent expenses (4 nearest quarters),IS_031_4NQ,IS_036
,,2.9. Chi phí tư vấn đầu tư chứng khoán (4 nearest quarters),IS_029_4NQ,,,(Income statement) (Securities) Investment advisory expenses (4 nearest quarters),IS_032_4NQ,IS_036
,,2.11. Chi phí lưu ký chứng khoán (4 nearest quarters),IS_030_4NQ,,,(Income statement) (Securities) Custody expenses (4 nearest quarters),IS_033_4NQ,IS_036
,,     Chi phí hoạt động tư vấn tài chính (4 nearest quarters),IS_031_4NQ,,,(Income statement) (Securities) Financial commission expenses (4 nearest quarters),IS_030.2_4NQ,IS_036
,,2.12. Chi phí khác (4 nearest quarters),IS_032_4NQ,,,(Income statement) (Securities) Other expenses (4 nearest quarters),IS_034_4NQ,IS_036
4. Giá vốn hàng bán (4 nearest quarters),IS_011_4NQ,Cộng chi phí hoạt động (4 nearest quarters),IS_040_4NQ,2. Chi phí lãi và các chi phí tương tự (4 nearest quarters),IS_002_4NQ,(Income statement) Cost of goods sold (4 nearest quarters),IS_036_4NQ,IS_036
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11) (4 nearest quarters),IS_020_4NQ,Gross profit from sales and services rendered (4 nearest quarters),IS_040.1_4NQ,Tổng thu nhập hoạt động (4 nearest quarters),IS_030_4NQ,(Income statement) Gross profit from sales and services rendered (4 nearest quarters),IS_040_4NQ,IS_040
,,,,I. Thu nhập lãi thuần (4 nearest quarters),IS_003_4NQ,(Income statement) (Bank) Net Interest Income (4 nearest quarters),IS_150_4NQ,IS_151
,,,,3. Thu nhập từ hoạt động dịch vụ (4 nearest quarters),IS_004_4NQ,(Income statement) (Bank) Income from Service Activities (4 nearest quarters),IS_151_4NQ,IS_153
,,,,4. Chi phí hoạt động dịch vụ (4 nearest quarters),IS_005_4NQ,(Income statement) (Bank) Expenses from Service Activities (4 nearest quarters),IS_152_4NQ,IS_153
,,,,II. Lãi/lỗ thuần từ hoạt động dịch vụ (4 nearest quarters),IS_006_4NQ,(Income statement) (Bank) Net Profit/Loss from Service Activities (4 nearest quarters),IS_153_4NQ,IS_153
,,3.1. Chênh lệch lãi tỷ giá hối đoái đã và chưa thực hiện (4 nearest quarters),IS_041_4NQ,,,(Income statement) (Securities) Exchange rate gain (realized and unrealized) (4 nearest quarters),IS_041_4NQ,IS_045
,,"3.2. Doanh thu, dự thu cổ tức, lãi tiền gửi không cố định phát sinh trong kỳ (4 nearest quarters)",IS_042_4NQ,,,"(Income statement) (Securities) Revenue, accrued dividend, and interest from non-fixed deposits generated during the period (4 nearest quarters)",IS_042_4NQ,IS_045
,,"3.3. Lãi bán, thanh lý các khoản đầu tư vào công ty con, liên kết, liên doanh (4 nearest quarters)",IS_043_4NQ,,,"(Income statement) (Securities) Gain on sale and liquidation of investments in subsidiaries, associates, and joint ventures (4 nearest quarters)",IS_043_4NQ,IS_045
,,3.4. Doanh thu khác về đầu tư (4 nearest quarters),IS_044_4NQ,,,(Income statement) (Securities) Other investment revenue (4 nearest quarters),IS_044_4NQ,IS_045
6. Doanh thu hoạt động tài chính (4 nearest quarters),IS_021_4NQ,Cộng doanh thu hoạt động tài chính (4 nearest quarters),IS_050_4NQ,,,(Income statement) Financial income (4 nearest quarters),IS_045_4NQ,IS_045
,,4.1. Chênh lệch lỗ tỷ giá hối đoái đã và chưa thực hiện (4 nearest quarters),IS_051_4NQ,,,(Income statement) (Securities) Exchange rate loss (realized and unrealized) (4 nearest quarters),IS_046_4NQ,IS_050
,,Chi phí dự phòng suy giảm giá trị các khoản đầu tư tài chính dài hạn (4 nearest quarters),IS_053_4NQ,,,(Income statement) (Securities) Provision expenses for impairment of long-term financial investments (4 nearest quarters),IS_047_4NQ,IS_050
,,4.4. chi phí tài chính khác (4 nearest quarters),IS_054_4NQ,,,(Income statement) (Securities) Other financial expenses (4 nearest quarters),IS_048_4NQ,IS_050
7. Chi phí tài chính (4 nearest quarters),IS_022_4NQ,Cộng chi phí tài chính (4 nearest quarters),IS_060_4NQ,,,(Income statement) Financial expenses (4 nearest quarters),IS_050_4NQ,IS_050
- Trong đó: Chi phí lãi vay (4 nearest quarters),IS_023_4NQ,4.2. Chi phí lãi vay (4 nearest quarters),IS_052_4NQ,,,(Income statement) Of which: Interest expenses (4 nearest quarters),IS_049_4NQ,IS_050
"8. Phần lãi lỗ trong công ty liên doanh, liên kết (4 nearest quarters)",IS_024_4NQ,x (4 nearest quarters),,,,(Income statement) Share of profit/(loss) from joint ventures and associates (4 nearest quarters),IS_051_4NQ,IS_051
9. Chi phí bán hàng (4 nearest quarters),IS_025_4NQ,x (4 nearest quarters),IS_061_4NQ,,,(Income statement) Selling expenses (4 nearest quarters),IS_052_4NQ,IS_052
,,,,III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối (4 nearest quarters),IS_007_4NQ,(Income statement) (Bank) Net profit/(loss) from foreign exchange trading (4 nearest quarters),IS_053_4NQ,IS_053
,,,,IV. Lãi /lỗ thuần từ mua bán chứng khoán kinh doanh (4 nearest quarters),IS_008_4NQ,(Income statement) (Bank) Net profit/(loss) from trading of trading securities (4 nearest quarters),IS_054_4NQ,IS_054
,,,,V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư (4 nearest quarters),IS_009_4NQ,(Income statement) (Bank) Net profit/(loss) from trading of investment securities (4 nearest quarters),IS_055_4NQ,IS_055
,,,,"VII. Thu nhập từ góp vốn, mua cổ phần (4 nearest quarters)",IS_013_4NQ,"(Income statement) (Bank) Income from capital contributions, share purchases (4 nearest quarters)",IS_056_4NQ,IS_056
,IS_027_4NQ,,IS_095_4NQ,VIII. Chi phí hoạt động (4 nearest quarters),IS_014_4NQ,(Income statement) Total Operating Costs (4 nearest quarters),IS_057_4NQ,IS_057
10. Chi phí quản lý doanh nghiệp (4 nearest quarters),IS_026_4NQ,x (4 nearest quarters),IS_062_4NQ,,,(Income statement) Administrative expenses (4 nearest quarters),IS_058_4NQ,IS_058
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)} (4 nearest quarters),IS_030_4NQ,x (4 nearest quarters),IS_070_4NQ,IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (4 nearest quarters),IS_015_4NQ,(Income statement) Net profit from operating activities (4 nearest quarters),IS_060_4NQ,IS_060
,,,,X. Chi phí dự phòng rủi ro tín dụng (4 nearest quarters),IS_016_4NQ,(Income statement) (Bank) Provision for credit losses (4 nearest quarters),IS_061_4NQ,IS_061
12. Thu nhập khác (4 nearest quarters),IS_031_4NQ,8.1. Thu nhập khác (4 nearest quarters),IS_071_4NQ,5. Thu nhập từ hoạt động khác (4 nearest quarters),IS_010_4NQ,(Income statement) Other income (4 nearest quarters),IS_062_4NQ,IS_062
13. Chi phí khác (4 nearest quarters),IS_032_4NQ,8.2. Chi phí khác (4 nearest quarters),IS_072_4NQ,6. Chi phí hoạt động khác (4 nearest quarters),IS_011_4NQ,(Income statement) Other expenses (4 nearest quarters),IS_063_4NQ,IS_063
14. Lợi nhuận khác(40=31-32) (4 nearest quarters),IS_040_4NQ,Cộng kết quả hoạt động khác (4 nearest quarters),IS_080_4NQ,VI. Lãi/lỗ thuần từ hoạt động khác (4 nearest quarters),IS_012_4NQ,(Income statement) Other profit/(loss) (4 nearest quarters),IS_070_4NQ,IS_070
15. Tổng lợi nhuận kế toán trước thuế(50=30+40) (4 nearest quarters),IS_050_4NQ,IX. TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ (4 nearest quarters),IS_090_4NQ,XI. Tổng lợi nhuận trước thuế (4 nearest quarters),IS_017_4NQ,(Income statement) Total profit before tax (Gross Income) (4 nearest quarters),IS_080_4NQ,IS_080
,,9.1. Lợi nhuận đã thực hiện (4 nearest quarters),IS_091_4NQ,,,(Income statement) (Securities) Realized profit (4 nearest quarters),IS_081_4NQ,IS_080
,,9.2. Lợi nhuận chưa thực hiện (4 nearest quarters),IS_092_4NQ,,,(Income statement) (Securities) Unrealized profit (4 nearest quarters),IS_082_4NQ,IS_080
CHI PHÍ THUẾ TNDN (4 nearest quarters),IS_050.1_4NQ,X. CHI PHÍ THUẾ TNDN (4 nearest quarters),IS_100_4NQ,XII. Chi phí thuế TNDN (4 nearest quarters),IS_020_4NQ,(Income statement) Corporate income tax expenses (4 nearest quarters),IS_090_4NQ,IS_090
16. Chi phí thuế TNDN hiện hành (4 nearest quarters),IS_051_4NQ,10.1. Chi phí thuế TNDN hiện hành (4 nearest quarters),IS_100.1_4NQ,7. Chi phí thuế TNDN hiện hành (4 nearest quarters),IS_018_4NQ,(Income statement) Current corporate income tax expense (4 nearest quarters),IS_091_4NQ,IS_090
17. Chi phí thuế TNDN hoãn lại (4 nearest quarters),IS_052_4NQ,10.2. Chi phí thuế TNDN hoãn lại (4 nearest quarters),IS_100.2_4NQ,8. Chi phí thuế TNDN hoãn lại (4 nearest quarters),IS_019_4NQ,(Income statement) Deferred corporate income tax expense (4 nearest quarters),IS_092_4NQ,IS_090
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52) (4 nearest quarters),IS_060_4NQ,XI. LỢI NHUẬN KẾ TOÁN SAU THUẾ TNDN (4 nearest quarters),IS_200_4NQ,XIII. Lợi nhuận sau thuế (4 nearest quarters),IS_021_4NQ,(Income statement) Profit after corporate income tax (Net Income) (4 nearest quarters),IS_100_4NQ,IS_100
,,11.1. Lợi nhuận sau thuế phân bổ cho chủ sở hữu (4 nearest quarters),IS_201_4NQ,,,(Income statement) (Securities) Profit after tax attributable to owners of the company (4 nearest quarters),IS_101_4NQ,IS_100
,,"11.2. Lợi nhuận sau thuế trích các Quỹ dự trữ điều lệ, Quỹ Dự phòng tài chính và rủi ro nghề nghiệp theo quy định của Điều lệ Công ty là %) (4 nearest quarters)",IS_202_4NQ,,,"(Income statement) (Securities) Profit after tax allocated to statutory reserves, financial reserves, and professional risk reserves as per the company's charter (4 nearest quarters)",IS_102_4NQ,IS_100
19. Lợi nhuận sau thuế công ty mẹ (4 nearest quarters),IS_061_4NQ,,,,IS_022.1_4NQ,(Income statement) Profit after tax attributable to the parent company (4 nearest quarters),IS_103_4NQ,IS_100
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát (4 nearest quarters),IS_062_4NQ,11.3. Lợi nhuận thuần phân bổ cho lợi ích của cổ đông không kiểm soát (4 nearest quarters),IS_203_4NQ,XIV. Lợi ích của cổ đông thiểu số (4 nearest quarters),IS_022_4NQ,(Income statement) Profit after tax attributable to non-controlling interests (4 nearest quarters),IS_104_4NQ,IS_100
,,XII. THU NHẬP (LỖ) TOÀN DIỆN KHÁC SAU THUẾ TNDN (4 nearest quarters),IS_300_4NQ,,,(Income statement) (Securities) OTHER COMPREHENSIVE INCOME (LOSS) AFTER TAX (4 nearest quarters),IS_110_4NQ,IS_110
,,Tổng thu nhập toàn diện khác (4 nearest quarters),IS_400_4NQ,,,(Income statement) (Securities) Total comprehensive income (4 nearest quarters),IS_111_4NQ,IS_110
,,Thu nhập toàn diện khác phân bổ cho chủ sở hữu (4 nearest quarters),IS_401_4NQ,,,(Income statement) (Securities) Comprehensive income attributable to owners of the company (4 nearest quarters),IS_112_4NQ,IS_110
,,XIII. THU NHẬP THUẦN TRÊN CỔ PHIẾU PHỔ THÔNG (4 nearest quarters),IS_500_4NQ,,,(Income statement) (Securities) XIII. EARNINGS PER COMMON SHARE (4 nearest quarters),IS_120_4NQ,IS_120
21. Lãi cơ bản trên cổ phiếu(*) (4 nearest quarters),IS_070_4NQ,13.1. Lãi cơ bản trên cổ phiếu (Đồng/1 cổ phiếu) (4 nearest quarters),IS_501_4NQ,XV. Lãi cơ bản trên cổ phiếu (4 nearest quarters),IS_023_4NQ,(Income statement) Basic earnings per share (4 nearest quarters),IS_130_4NQ,IS_130
22. Lãi suy giảm trên cổ phiếu (*) (4 nearest quarters),IS_071_4NQ,13.2. Thu nhập pha loãng trên cổ phiếu (Đồng/1 cổ phiếu) (4 nearest quarters),IS_502_4NQ,,IS_024_4NQ,(Income statement) Diluted earnings per share (4 nearest quarters),IS_140_4NQ,IS_140
1. Lợi nhuận trước thuế (4 nearest quarters),CF_001_4NQ,Lợi nhuận trước thuế TNDN (4 nearest quarters),CF_001_4NQ,1. Thu nhập lãi và các khoản thu nhập tương tự nhận được (4 nearest quarters),CF_001_4NQ,(Cash flow) Profit before tax (4 nearest quarters),CF_001_4NQ,CF_001
,,,,3. Thu nhập từ hoạt động dịch vụ nhận được (4 nearest quarters),CF_003_4NQ,(Cash flow) (Bank) Income from service activities received (4 nearest quarters),CF_002_4NQ,CF_001
- Khấu hao TSCĐ và BĐSĐT (4 nearest quarters),CF_002_4NQ,Khấu hao tài sản cố định (4 nearest quarters),CF_003_4NQ,,,(Cash flow) Depreciation of fixed assets and investment properties (4 nearest quarters),CF_003_4NQ,CF_001
- Các khoản dự phòng (4 nearest quarters),CF_003_4NQ,Các khoản dự phòng (4 nearest quarters),CF_004_4NQ,"6. Tiền thu các khoản nợ đã được xử lý xóa, bù đắp bằng nguồn rủi ro (4 nearest quarters)",CF_006_4NQ,(Cash flow) Provisions (4 nearest quarters),CF_004_4NQ,CF_001
"- Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ (4 nearest quarters)",CF_004_4NQ,,CF_005_4NQ,"4. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh(ngoại tệ,vàng bạc,chứng khoán) (4 nearest quarters)",CF_004_4NQ,(Cash flow) Foreign exchange gains/losses due to revaluation of foreign currency monetary items (4 nearest quarters),CF_005_4NQ,CF_001
"- Lãi, lỗ từ hoạt động đầu tư (4 nearest quarters)",CF_005_4NQ,Lãi/lỗ hoạt động đầu tư (4 nearest quarters),CF_007_4NQ,,,(Cash flow) Gains/losses from investment activities (4 nearest quarters),CF_006_4NQ,CF_001
- Chi phí lãi vay (4 nearest quarters),CF_006_4NQ,Chi phí lãi vay (4 nearest quarters),CF_006_4NQ,2. Chi phí lãi và các chi phí tương tự đã trả (4 nearest quarters),CF_002_4NQ,(Cash flow) Interest expenses (4 nearest quarters),CF_007_4NQ,CF_001
- Các khoản điều chỉnh khác (4 nearest quarters),CF_007_4NQ,,,5. Thu nhập khác (4 nearest quarters),CF_005_4NQ,(Cash flow) Other adjustment/ income (4 nearest quarters),CF_008_4NQ,CF_001
,,,,"7. Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ(*) (4 nearest quarters)",CF_007_4NQ,"(Cash flow) (Bank) Payments to employees and for administrative, public services (4 nearest quarters)",CF_009_4NQ,CF_001
,,Dự thu tiền lãi (4 nearest quarters),CF_008_4NQ,,,(Cash flow) (Securities) Accrued interest income (4 nearest quarters),CF_010_4NQ,CF_001
,, Tăng các chi phí phi tiền tệ (4 nearest quarters),CF_010_4NQ,,,(Cash flow) (Securities) Increase non-monetary costs (4 nearest quarters),CF_011_4NQ,CF_001
,,Giảm các doanh thu phi tiền tệ (4 nearest quarters),CF_018_4NQ,,,(Cash flow) (Securities) Decrease non-monetary costs (4 nearest quarters),CF_012_4NQ,CF_001
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động (4 nearest quarters),CF_008_4NQ,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động (4 nearest quarters),CF_030_4NQ,B. Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và vốn lưu động (4 nearest quarters),CF_009_4NQ,(Cash flow) Profit from business activities before changes in working capital (4 nearest quarters),CF_020_4NQ,CF_020
,,,,9. (Tăng)/Giảm các khoản tiền gửi và cho vay các TCTD khác (4 nearest quarters),CF_010_4NQ,(Cash flow) (Bank) (Increase)/Decrease in deposits and loans to other credit institutions (4 nearest quarters),CF_021_4NQ,CF_020
,,,,11. (Tăng)/Giảm các công cụ tài chính phái sinh và các tài sản tài chính khác (4 nearest quarters),CF_012_4NQ,(Cash flow) (Bank) (Increase)/Decrease in derivative financial instruments and other financial assets (4 nearest quarters),CF_022_4NQ,CF_020
,,,,12. (Tăng)/Giảm các khoản cho vay khách hàng (4 nearest quarters),CF_013_4NQ,(Cash flow) (Bank) (Increase)/Decrease in loans to customers (4 nearest quarters),CF_023_4NQ,CF_020
,,,,13. Giảm nguồn dự phòng để bù đắp tổn thất các khoản (4 nearest quarters),CF_014_4NQ,(Cash flow) (Bank) Decrease in provisions for covering losses (4 nearest quarters),CF_024_4NQ,CF_020
,,,,14. (Tăng)/Giảm khác về tài sản hoạt động (4 nearest quarters),CF_015_4NQ,(Cash flow) (Bank) (Increase)/Decrease in other operating assets (4 nearest quarters),CF_025_4NQ,CF_020
,,,,15. Tăng/(Giảm) các khoản nợ chính phủ và NHNN (4 nearest quarters),CF_016_4NQ,(Cash flow) (Bank) Increase/(Decrease) in government and central bank debts (4 nearest quarters),CF_026_4NQ,CF_020
,,,,"16. Tăng/(Giảm) các khoản tiền gửi, tiền vay các tổ chức tín dụng (4 nearest quarters)",CF_017_4NQ,(Cash flow) (Bank) Increase/(Decrease) in deposits and loans from credit institutions (4 nearest quarters),CF_027_4NQ,CF_020
,,,,17. Tăng/(Giảm) tiền gửi của khách hàng(bao gồm cả kho bạc nhà nước) (4 nearest quarters),CF_018_4NQ,(Cash flow) (Bank) Increase/(Decrease) in customer deposits (including the state treasury) (4 nearest quarters),CF_028_4NQ,CF_020
,,,,18. Tăng(/Giảm) phát hành giấy tờ có giá(ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính) (4 nearest quarters),CF_019_4NQ,(Cash flow) (Bank) Increase/(Decrease) in issuance of valuable papers (excluding those recognized as financial activities) (4 nearest quarters),CF_029_4NQ,CF_020
,,,,"19. Tăng/(Giảm) vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro (4 nearest quarters)",CF_020_4NQ,"(Cash flow) (Bank) Increase/(Decrease) in grants, investment trusts, loans to risk-bearing credit institutions (4 nearest quarters)",CF_030_4NQ,CF_020
,,,,20. Tăng/ (Giảm) các công cụ tài chính phái sinh và các khoản nợ tài chính khác (4 nearest quarters),CF_021_4NQ,(Cash flow) (Bank) Increase/(Decrease) in derivative financial instruments and other financial liabilities (4 nearest quarters),CF_031_4NQ,CF_020
,,,,21. Tăng/ (Giảm) khác về công nợ hoạt động (4 nearest quarters),CF_022_4NQ,(Cash flow) (Bank) Increase/(Decrease) in other operating liabilities (4 nearest quarters),CF_032_4NQ,CF_020
,,,,22. Chi từ các quỹ của TCTD(*) (4 nearest quarters),CF_023_4NQ,(Cash flow) (Bank) Payments from the funds of credit institutions (4 nearest quarters),CF_033_4NQ,CF_020
,,          Tăng (giảm) tài sản tài chính ghi nhận thông qua lãi/ lỗ (FVTPL) (4 nearest quarters),CF_031_4NQ,,,(Cash flow) (Securities) Increase (decrease) in financial assets recognized through profit or loss (FVTPL) (4 nearest quarters),CF_200_4NQ,CF_020
,,          Tăng (giảm) các khoản đầu tư giữ đến ngày đáo hạn (HTM) (4 nearest quarters),CF_032_4NQ,,,(Cash flow) (Securities) Increase (decrease) in held-to-maturity investments (HTM) (4 nearest quarters),CF_201_4NQ,CF_020
,,          Tăng(giảm) các khoản cho vay (4 nearest quarters),CF_033_4NQ,,,(Cash flow) (Securities) Increase (decrease) in loans granted (4 nearest quarters),CF_202_4NQ,CF_020
,,          Tăng (giảm) tài sản tài chính sẵn sàng để bán AFS (4 nearest quarters),CF_034_4NQ,,,(Cash flow) (Securities) Increase (decrease) in available-for-sale financial assets (AFS) (4 nearest quarters),CF_203_4NQ,CF_020
,,"          (-) Tăng, (+) giảm phải thu bán các tài sản tài chính (4 nearest quarters)",CF_035_4NQ,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables from the sale of financial assets (4 nearest quarters)",CF_204_4NQ,CF_020
,,"          (-) Tăng, (+) giảm phải thu và dự thu cổ tức, tiền lãi các tài sản tài chính (4 nearest quarters)",CF_036_4NQ,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables and accrued income from dividends and interest on financial assets (4 nearest quarters)",CF_205_4NQ,CF_020
,,"          (-) Tăng, (+) giảm các khoản phải thu các dịch vụ CTCK cung cấp (4 nearest quarters)",CF_037_4NQ,,,"(Cash flow) (Securities) (-) Increase, (+) decrease in receivables from services provided by securities companies (4 nearest quarters)",CF_206_4NQ,CF_020
,,Tăng/giảm các khoản phải thu khác (4 nearest quarters),CF_039_4NQ,,,(Cash flow) (Securities) Increase/decrease in receivables (4 nearest quarters),CF_207_4NQ,CF_020
"- Tăng, giảm các khoản phải thu (4 nearest quarters)",CF_009_4NQ,,,,,(Cash flow) (Corporate) Increase/decrease in receivables (4 nearest quarters),CF_034_4NQ,CF_020
"- Tăng, giảm hàng tồn kho (4 nearest quarters)",CF_010_4NQ,,,,,(Cash flow) (Corporate) Increase/decrease in inventories (4 nearest quarters),CF_035_4NQ,CF_020
,,          Tăng/giảm các tài sản khác (4 nearest quarters),CF_040_4NQ,,,(Cash flow) (Securities) Increase/decrease in other assets (4 nearest quarters),CF_220_4NQ,CF_020
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp) (4 nearest quarters)",CF_011_4NQ,,CF_041_4NQ,,,"(Cash flow) Increase/decrease in payables (excluding interest payable, corporate income tax payable) (4 nearest quarters)",CF_036_4NQ,CF_020
"- Tăng, giảm chi phí trả trước (4 nearest quarters)",CF_012_4NQ,Tăng/giảm chi phí trả trước (4 nearest quarters),CF_042_4NQ,,,(Cash flow) Increase/decrease in prepaid expenses (4 nearest quarters),CF_037_4NQ,CF_020
"- Tăng, giảm chứng khoán kinh doanh (4 nearest quarters)",CF_013_4NQ,,,10. (Tăng)/Giảm các khoản về kinh doanh chứng khoán (4 nearest quarters),CF_011_4NQ,(Cash flow) Increase/decrease in trading securities (4 nearest quarters),CF_038_4NQ,CF_020
- Tiền lãi vay đã trả (4 nearest quarters),CF_014_4NQ,Lãi vay phải trả (4 nearest quarters),CF_044_4NQ,,,(Cash flow) Interest paid (4 nearest quarters),CF_039_4NQ,CF_020
- Thuế thu nhập doanh nghiệp đã nộp (4 nearest quarters),CF_015_4NQ,Thuế TNDN đã trả (4 nearest quarters),CF_043_4NQ,8. Tiền thuế thu nhập thực nộp trong kỳ(*) (4 nearest quarters),CF_008_4NQ,(Cash flow) Corporate income tax paid (4 nearest quarters),CF_040_4NQ,CF_020
,,"          (+) Tăng, (-) giảm phải trả cho người bán (4 nearest quarters)",CF_045_4NQ,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in payables to suppliers (4 nearest quarters)",CF_210_4NQ,CF_020
,,"          (+) Tăng, (-) giảm các khoản trích nộp phúc lợi nhân viên (4 nearest quarters)",CF_046_4NQ,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in employee benefit contributions (4 nearest quarters)",CF_211_4NQ,CF_020
,,"          (+) Tăng, (-) giảm thuế và các khoản phải nộp Nhà nước (4 nearest quarters)",CF_047_4NQ,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in taxes and obligations payable to the State (4 nearest quarters)",CF_212_4NQ,CF_020
,,"          (+) Tăng, (-) giảm phải trả người lao động (4 nearest quarters)",CF_048_4NQ,,,"(Cash flow) (Securities) (+) Increase, (-) decrease in payables to employees (4 nearest quarters)",CF_213_4NQ,CF_020
,,Tăng/giảm các khoản phải trả khác (4 nearest quarters),CF_050_4NQ,,,(Cash flow) (Securities) Increase/decrease in other payables (4 nearest quarters),CF_041_4NQ,CF_020
- Tiền thu khác từ hoạt động kinh doanh (4 nearest quarters),CF_016_4NQ,,CF_051_4NQ,,,(Cash flow) Other cash receipts from business activities (4 nearest quarters),CF_042_4NQ,CF_020
- Tiền chi khác cho hoạt động kinh doanh (4 nearest quarters),CF_017_4NQ,,CF_052_4NQ,,,(Cash flow) Other cash payments for business activities (4 nearest quarters),CF_043_4NQ,CF_020
Lưu chuyển tiền thuần từ hoạt động kinh doanh (4 nearest quarters),CF_020_4NQ,Lưu chuyển tiền thuần từ hoạt động kinh doanh (4 nearest quarters),CF_060_4NQ,I. Lưu chuyển tiền thuần từ hoạt động kinh doanh (4 nearest quarters),CF_024_4NQ,(Cash flow) Net cash flow from operating activities (4 nearest quarters),CF_050_4NQ,CF_050
"1.Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác (4 nearest quarters)",CF_021_4NQ,Tiền mua tài sản cố định và các tài sản dài hạn khác (4 nearest quarters),CF_061_4NQ,1. Mua sắm tài sản cố định(*) (4 nearest quarters),CF_025_4NQ,"(Cash flow) Cash outflows for purchase, construction of fixed assets and other long-term assets (4 nearest quarters)",CF_051_4NQ,CF_050
"2.Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác (4 nearest quarters)",CF_022_4NQ,Tiền thu được từ thanh lý tài sản cố định (4 nearest quarters),CF_062_4NQ,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ (4 nearest quarters)",CF_026_4NQ,(Cash flow) Cash inflows from disposal of fixed assets and other long-term assets (4 nearest quarters),CF_052_4NQ,CF_050
,,,,"3. Tiền chi từ thanh lý, nhượng bán TSCĐ(*) (4 nearest quarters)",CF_027_4NQ,"(Cash flow) Cash paid for liquidation, sale of fixed assets (4 nearest quarters)",CF_053_4NQ,CF_050
,,,,4. Mua sắm bất động sản đầu tư(*) (4 nearest quarters),CF_028_4NQ,(Cash flow) Purchase of investment property (4 nearest quarters),CF_054_4NQ,CF_050
"3.Tiền chi cho vay, mua các công cụ nợ của đơn vị khác (4 nearest quarters)",CF_023_4NQ,,,,,"(Cash flow) Cash outflows for loans, purchasing debt instruments of other entities (4 nearest quarters)",CF_055_4NQ,CF_050
